              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name:  
Subject No:  
Date of Birth:  
Subject Address:  
Operator:   
Date: 11:05:31 (30/4/2012) 
DRT4 Serial Number: #3021 
Comment:  
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   8/sec 
Time Constant: off 
Time Offset: 0.062 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
1	0	0	0.000	  0.0	 30.6 
2	0	0	0.125	  0.0	 27.6 
467	0	0	58.250	  0.0	 13.4 
468	0	0	58.375	  0.0	 13.8 
469	0	0	58.500	  0.0	 12.6 
470	0	0	58.625	  0.0	 15.5 
471	0	0	58.750	  0.0	 16.6 
472	0	0	58.875	  0.0	 16.1 
473	0	0	59.000	  0.0	 13.6 
474	0	0	59.125	  0.0	 13.0 
475	0	0	59.250	  0.0	 13.7 
476	0	0	59.375	  0.0	 14.8 
477	0	0	59.500	  0.0	 14.8 
478	0	0	59.625	  0.0	 13.1 
479	0	0	59.750	  0.0	 14.0 
480	0	0	59.875	  0.0	 15.3 
481	0	1	0.000	  0.0	 14.7 
482	0	1	0.125	  0.0	 16.4 
483	0	1	0.250	  0.0	 19.4 
484	0	1	0.375	  0.0	 19.3 
485	0	1	0.500	  0.0	 18.2 
486	0	1	0.625	  0.0	 20.1 
487	0	1	0.750	  0.0	 27.6 
488	0	1	0.875	  0.0	 34.3 
489	0	1	1.000	  0.0	 28.6 
490	0	1	1.125	  0.0	 23.9 
491	0	1	1.250	  0.0	 20.5 
492	0	1	1.375	  0.0	 20.3 
493	0	1	1.500	  0.0	 20.6 
494	0	1	1.625	  0.0	 28.6 
495	0	1	1.750	  0.0	 23.8 
496	0	1	1.875	  0.0	 24.2 
497	0	1	2.000	  0.0	 28.0 
498	0	1	2.125	  0.0	 30.0 
499	0	1	2.250	  0.0	 20.2 
500	0	1	2.375	  0.0	 23.0 
501	0	1	2.500	  0.0	 42.5 
502	0	1	2.625	  0.0	 34.9 
503	0	1	2.750	  0.0	 26.9 
504	0	1	2.875	  0.0	 29.1 
505	0	1	3.000	  0.0	 40.1 
506	0	1	3.125	  0.0	 44.0 
507	0	1	3.250	  0.0	 37.5 
508	0	1	3.375	  0.0	 31.3 
509	0	1	3.500	  0.0	 27.8 
510	0	1	3.625	  0.0	 20.3 
511	0	1	3.750	  0.0	 19.7 
512	0	1	3.875	  0.0	 27.5 
513	0	1	4.000	  0.0	 26.0 
514	0	1	4.125	  0.0	 24.7 
515	0	1	4.250	  0.0	 22.6 
516	0	1	4.375	  0.0	 48.8 
517	0	1	4.500	  0.0	 50.4 
518	0	1	4.625	  0.0	 33.6 
519	0	1	4.750	  0.0	 35.4 
520	0	1	4.875	  0.0	 39.4 
521	0	1	5.000	  0.0	 34.8 
522	0	1	5.125	  0.0	 31.8 
523	0	1	5.250	  0.0	 27.3 
524	0	1	5.375	  0.0	 39.9 
525	0	1	5.500	  0.0	 29.5 
526	0	1	5.625	  0.0	 27.4 
527	0	1	5.750	  0.0	 27.0 
528	0	1	5.875	  0.0	 26.6 
529	0	1	6.000	  0.0	 31.1 
530	0	1	6.125	  0.0	 38.2 
531	0	1	6.250	  0.0	 30.9 
532	0	1	6.375	  0.0	 23.7 
533	0	1	6.500	  0.0	 22.8 
534	0	1	6.625	  0.0	 25.8 
535	0	1	6.750	  0.0	 30.3 
536	0	1	6.875	  0.0	 58.0 
537	0	1	7.000	  0.0	 40.7 
538	0	1	7.125	  0.0	 36.3 
539	0	1	7.250	  0.0	 33.6 
540	0	1	7.375	  0.0	 30.3 
541	0	1	7.500	  0.0	 32.2 
542	0	1	7.625	  0.0	 32.9 
543	0	1	7.750	  0.0	 22.6 
544	0	1	7.875	  0.0	 19.3 
545	0	1	8.000	  0.0	 28.7 
546	0	1	8.125	  0.0	 31.0 
547	0	1	8.250	  0.0	 30.4 
548	0	1	8.375	  0.0	 44.0 
549	0	1	8.500	  0.0	 40.1 
550	0	1	8.625	  0.0	 29.7 
551	0	1	8.750	  0.0	 31.4 
552	0	1	8.875	  0.0	 29.5 
553	0	1	9.000	  0.0	 24.1 
554	0	1	9.125	  0.0	 48.3 
555	0	1	9.250	  0.0	 33.2 
556	0	1	9.375	  0.0	 21.3 
557	0	1	9.500	  0.0	 22.7 
558	0	1	9.625	  0.0	 38.5 
559	0	1	9.750	  0.0	 35.4 
560	0	1	9.875	  0.0	 28.2 
561	0	1	10.000	  0.0	 25.7 
562	0	1	10.125	  0.0	 23.6 
563	0	1	10.250	  0.0	 23.3 
564	0	1	10.375	  0.0	 19.4 
565	0	1	10.500	  0.0	 21.4 
566	0	1	10.625	  0.0	 17.7 
567	0	1	10.750	  0.0	 14.5 
568	0	1	10.875	  0.0	 13.2 
569	0	1	11.000	  0.0	 14.0 
570	0	1	11.125	  0.0	 12.9 
571	0	1	11.250	  0.0	 12.0 
